접수일자,발생지점,접수구분,데이터기준일
2022-02-03,고척동102-2,도로파손,2023-05-31
2022-02-03,경인로319대림프라자,도로파손,2023-05-31
2022-02-03,구로중앙로210,도로파손,2023-05-31
2022-02-03,경인로59길36,도로파손,2023-05-31
2022-02-03,경인로59길36,도로파손,2023-05-31
2022-02-03,경인로650,도로파손,2023-05-31
2022-02-03,경인로121,도로파손,2023-05-31
2022-02-03,고척로21길20-2,도로파손,2023-05-31
2022-02-03,고척로27길93,도로파손,2023-05-31
2022-02-03,서부샛길822,도로파손,2023-05-31
2022-02-03,개봉로20길78,도로파손,2023-05-31
2022-02-03,부일로9길57,도로파손,2023-05-31
2022-02-03,고척로21나길18-21,도로파손,2023-05-31
2022-02-03,개봉중~작은굴다리,도로파손,2023-05-31
2022-02-04,고척동688-11,도로파손,2023-05-31
2022-02-04,신도림로51,도로파손,2023-05-31
2022-02-07,고척동52-332,도로파손,2023-05-31
2022-02-07,구로동로20길51,도로파손,2023-05-31
2022-02-07,경서로3길4,도로파손,2023-05-31
2022-02-07,경서로67길23,도로파손,2023-05-31
2022-02-07,개봉로17아길41-10,도로파손,2023-05-31
2022-02-07,경인로27길20-17,도로파손,2023-05-31
2022-02-07,고척동195-13,도로파손,2023-05-31
2022-02-09,구로중앙로34길52,도로파손,2023-05-31
2022-02-09,고척동83-6,도로파손,2023-05-31
2022-02-09,신도림로15길21-19,도로파손,2023-05-31
2022-02-09,구로동로5길23-1,도로파손,2023-05-31
2022-02-10,고척동195-13,도로파손,2023-05-31
2022-02-10,고척동182-23,도로파손,2023-05-31
2022-02-10,가리봉동115-124,도로파손,2023-05-31
2022-02-10,신도림동291-143,도로파손,2023-05-31
2022-02-10,가마산로19길10,도로파손,2023-05-31
2022-02-10,고척로4길15-67,도로파손,2023-05-31
2022-02-11,개봉동345-20,도로파손,2023-05-31
2022-02-11,고척동195-13,도로파손,2023-05-31
2022-02-11,신도림동259-7,도로파손,2023-05-31
2022-02-11,새말로117-23,도로파손,2023-05-31
2022-02-11,경인로67길23,도로파손,2023-05-31
2022-02-11,구로동1-4,도로파손,2023-05-31
2022-02-11,디지털로26길87,도로파손,2023-05-31
2022-02-11,디지털로32가길76-29,도로파손,2023-05-31
2022-02-11,고척동323,도로파손,2023-05-31
2022-02-11,고척동259-2,도로파손,2023-05-31
2022-02-11,고척동118-3,도로파손,2023-05-31
2022-02-14,신도림동286-21,도로파손,2023-05-31
2022-02-14,구로환승역,도로파손,2023-05-31
2022-02-14,경인로67길23,도로파손,2023-05-31
2022-02-14,경인로661,도로파손,2023-05-31
2022-02-14,새말로16길70,도로파손,2023-05-31
2022-02-14,영등포구대림동629-12,도로파손,2023-05-31
2022-02-14,고척로123-1,도로파손,2023-05-31
2022-02-14,구로동로7길83,도로파손,2023-05-31
2022-02-15,구로동로38길46,도로파손,2023-05-31
2022-02-15,개봉동59-9,도로파손,2023-05-31
2022-02-15,고척동261-69,도로파손,2023-05-31
2022-02-15,구일로130,도로파손,2023-05-31
2022-02-15,경인로25길16,도로파손,2023-05-31
2022-02-15,경인로20가길5,도로파손,2023-05-31
2022-02-16,새말로117-6,도로파손,2023-05-31
2022-02-16,고척로222,도로파손,2023-05-31
2022-02-16,고척로18가길21,도로파손,2023-05-31
2022-02-17,구로동로5길23-1,도로파손,2023-05-31
2022-02-17,구로중앙로32가길73,도로파손,2023-05-31
2022-02-17,도림로82,도로파손,2023-05-31
2022-02-18,고척로198,도로파손,2023-05-31
2022-02-18,경서로55,도로파손,2023-05-31
2022-02-18,디지털로27길50,도로파손,2023-05-31
2022-02-18,도림로104,도로파손,2023-05-31
2022-02-18,새말로15,도로파손,2023-05-31
2022-02-21,개봉로3길108-20,도로파손,2023-05-31
2022-02-21,도림로108,도로파손,2023-05-31
2022-02-21,고척로25길20,도로파손,2023-05-31
2022-02-21,경서로3길4,도로파손,2023-05-31
2022-02-21,목동남로6,도로파손,2023-05-31
2022-02-21,구로동1-4,도로파손,2023-05-31
2022-02-22,구로중앙로28길65,도로파손,2023-05-31
2022-02-22,구로동496-128,도로파손,2023-05-31
2022-02-23,우마1길13-5,도로파손,2023-05-31
2022-02-23,구로동501-20,도로파손,2023-05-31
2022-02-23,디지털로20길4,도로파손,2023-05-31
2022-02-23,신도림로15길21-19,도로파손,2023-05-31
2022-02-23,구로중앙로42길110-31,도로파손,2023-05-31
2022-02-23,신도림로11길8-7,도로파손,2023-05-31
2022-02-24,경인로33다길34,도로파손,2023-05-31
2022-02-24,경인로31길48,도로파손,2023-05-31
2022-02-25,목감천서자전길258,도로파손,2023-05-31
2022-02-28,중앙로6길40,도로파손,2023-05-31
2022-02-28,중앙로6길40,도로파손,2023-05-31
2022-02-28,부일로1길13,도로파손,2023-05-31
2022-02-28,고척로27길99,도로파손,2023-05-31
2022-02-28,안양천로539길18,도로파손,2023-05-31
2022-02-28,목동남로8-1,도로파손,2023-05-31
2022-03-02,구로동733-10,도로파손,2023-05-31
2022-03-02,구로동로35나길12,도로파손,2023-05-31
2022-03-02,부일로861-6,도로파손,2023-05-31
2022-03-02,개봉로3가길92,도로파손,2023-05-31
2022-03-02,개봉로11길40,도로파손,2023-05-31
2022-03-02,고척로23길8,도로파손,2023-05-31
2022-03-02,고척로21길49,도로파손,2023-05-31
2022-03-02,오류로54-3,도로파손,2023-05-31
2022-03-02,도림로75-1,도로파손,2023-05-31
2022-03-02,경인로323,도로파손,2023-05-31
2022-03-02,구로중앙로28길7,도로파손,2023-05-31
2022-03-02,구로중앙로31길18,도로파손,2023-05-31
2022-03-02,개봉로17다길34,도로파손,2023-05-31
2022-03-02,개봉로1길94,도로파손,2023-05-31
2022-03-02,벚꽃로78길19,도로파손,2023-05-31
2022-03-03,안양천로537나길16,도로파손,2023-05-31
2022-03-03,구로동733-10,도로파손,2023-05-31
2022-03-03,고척동74-3,도로파손,2023-05-31
2022-03-03,개봉동279-7,도로파손,2023-05-31
2022-03-03,고척로212,도로파손,2023-05-31
2022-03-03,부일로861-6,도로파손,2023-05-31
2022-03-04,개봉로3길60,도로파손,2023-05-31
2022-03-04,개봉로23가길31,도로파손,2023-05-31
2022-03-04,오리로22다길36,도로파손,2023-05-31
2022-03-04,궁동258-10,도로파손,2023-05-31
2022-03-04,고척로21길3,도로파손,2023-05-31
2022-03-04,고척동74-3,도로파손,2023-05-31
2022-03-07,고척동57-47,도로파손,2023-05-31
2022-03-07,신도림동412-4,도로파손,2023-05-31
2022-03-07,고척동52-333,도로파손,2023-05-31
2022-03-07,개봉동67-1,도로파손,2023-05-31
2022-03-07,경인로67길23,도로파손,2023-05-31
2022-03-07,개봉로11길18-5,도로파손,2023-05-31
2022-03-07,개봉로11길18-5,도로파손,2023-05-31
2022-03-07,구로동476-45,도로파손,2023-05-31
2022-03-07,구로동706-2,도로파손,2023-05-31
2022-03-07,고척로23길34,도로파손,2023-05-31
2022-03-07,고척로25길20,도로파손,2023-05-31
2022-03-07,고척로27마길6,도로파손,2023-05-31
2022-03-08,고척동118-3,도로파손,2023-05-31
2022-03-08,개봉동108-9,도로파손,2023-05-31
2022-03-08,개봉동121-3,도로파손,2023-05-31
2022-03-08,개봉동100,도로파손,2023-05-31
2022-03-08,부일로901,도로파손,2023-05-31
2022-03-08,고척동57-47,도로파손,2023-05-31
2022-03-08,고척동52-333,도로파손,2023-05-31
2022-03-08,서해안로2118,도로파손,2023-05-31
2022-03-08,구로2동616-1,도로파손,2023-05-31
2022-03-08,남부순환로105가길27,도로파손,2023-05-31
2022-03-08,남부순환로105가길23,도로파손,2023-05-31
2022-03-08,디지털로24가길28,도로파손,2023-05-31
2022-03-08,서해안로34길42,도로파손,2023-05-31
2022-03-08,개봉동108-9,도로파손,2023-05-31
2022-03-08,벚꽃로378,도로파손,2023-05-31
2022-03-08,경서로75-4,도로파손,2023-05-31
2022-03-08,경서로35,도로파손,2023-05-31
2022-03-08,고척로45길42-3,도로파손,2023-05-31
2022-03-08,오류로52,도로파손,2023-05-31
2022-03-10,도림로20길18,도로파손,2023-05-31
2022-03-10,고척로238,도로파손,2023-05-31
2022-03-10,새말로18길112,도로파손,2023-05-31
2022-03-10,도림로20길11,도로파손,2023-05-31
2022-03-10,디지털로33길58,도로파손,2023-05-31
2022-03-10,디지털로21길14,도로파손,2023-05-31
2022-03-10,구로동로5길6-4,도로파손,2023-05-31
2022-03-10,구로동로7길89,도로파손,2023-05-31
2022-03-10,경인로35길131,도로파손,2023-05-31
2022-03-10,고척로156,도로파손,2023-05-31
2022-03-10,고척로27마길35,도로파손,2023-05-31
2022-03-10,중앙로15길162,도로파손,2023-05-31
2022-03-10,중앙로15길132-17,도로파손,2023-05-31
2022-03-10,중앙로15길30,도로파손,2023-05-31
2022-03-11,경인로67길23,도로파손,2023-05-31
2022-03-11,경인로47길31,도로파손,2023-05-31
2022-03-11,경인로320-314,도로파손,2023-05-31
2022-03-14,부일로9길49,도로파손,2023-05-31
2022-03-14,부일로9길953,도로파손,2023-05-31
2022-03-14,고척로27길54,도로파손,2023-05-31
2022-03-14,중앙로6길17,도로파손,2023-05-31
2022-03-14,개봉로3길36,도로파손,2023-05-31
2022-03-15,항동로68,도로파손,2023-05-31
2022-03-15,개봉동4-3,도로파손,2023-05-31
2022-03-15,구로중앙로27다길1,도로파손,2023-05-31
2022-03-15,도림로20길11,도로파손,2023-05-31
2022-03-15,고척로27바길6,도로파손,2023-05-31
2022-03-16,구로동454-76,도로파손,2023-05-31
2022-03-16,중앙로6길40,도로파손,2023-05-31
2022-03-16,경인로611-29,도로파손,2023-05-31
2022-03-16,디지털로33길27,도로파손,2023-05-31
2022-03-16,중앙로6길40,도로파손,2023-05-31
2022-03-17,경인로33다길34,도로파손,2023-05-31
2022-03-17,오류로72,도로파손,2023-05-31
2022-03-17,새말로32,도로파손,2023-05-31
2022-03-17,새말로30,도로파손,2023-05-31
2022-03-17,새말로22,도로파손,2023-05-31
2022-03-17,새말로18,도로파손,2023-05-31
2022-03-17,구로동573,도로파손,2023-05-31
2022-03-17,구로동685-222,도로파손,2023-05-31
2022-03-17,구로중앙로28길31-48,도로파손,2023-05-31
2022-03-17,구로동로246,도로파손,2023-05-31
2022-03-17,구로동로212-13,도로파손,2023-05-31
2022-03-17,새말로18,도로파손,2023-05-31
2022-03-17,신도림로325-4,도로파손,2023-05-31
2022-03-17,새말로117-6,도로파손,2023-05-31
2022-03-17,새말로117-23,도로파손,2023-05-31
2022-03-17,고척로25길20,도로파손,2023-05-31
2022-03-17,고척로25길33-15,도로파손,2023-05-31
2022-03-18,목동남로10-6,도로파손,2023-05-31
2022-03-18,구로동614-216,도로파손,2023-05-31
2022-03-18,구로동496-128,도로파손,2023-05-31
2022-03-21,구로중앙로27다길1,도로파손,2023-05-31
2022-03-21,부일로957,도로파손,2023-05-31
2022-03-21,부일로967,도로파손,2023-05-31
2022-03-21,구로동1-4,도로파손,2023-05-31
2022-03-21,공원로40,도로파손,2023-05-31
2022-03-21,구일로2길29,도로파손,2023-05-31
2022-03-21,고척로184-1,도로파손,2023-05-31
2022-03-21,안양천로539길6,도로파손,2023-05-31
2022-03-21,고척로21길39,도로파손,2023-05-31
2022-03-21,고척로27길99,도로파손,2023-05-31
2022-03-21,신도림로11가길36,도로파손,2023-05-31
2022-03-21,목동남로10,도로파손,2023-05-31
2022-03-22,오리로22가길33,도로파손,2023-05-31
2022-03-22,부일로9길49,도로파손,2023-05-31
2022-03-22,오리로20길15,도로파손,2023-05-31
2022-03-22,공원로11길2,도로파손,2023-05-31
2022-03-22,구로중앙로17,도로파손,2023-05-31
2022-03-22,경인로33길28,도로파손,2023-05-31
2022-03-22,경인로330,도로파손,2023-05-31
2022-03-22, 도림로20길11,도로파손,2023-05-31
2022-03-22,도림로20길11,도로파손,2023-05-31
2022-03-22,디지털로26길87,도로파손,2023-05-31
2022-03-23,공원로35,도로파손,2023-05-31
2022-03-23,새말로18길17,도로파손,2023-05-31
2022-03-23,서해안로2217,도로파손,2023-05-31
2022-03-23,오리로11길99,도로파손,2023-05-31
2022-03-23,경인로3길27,도로파손,2023-05-31
2022-03-23,개봉로3길14,도로파손,2023-05-31
2022-03-23,구로동265-1(디지털로27길82),도로파손,2023-05-31
2022-03-24,구로동685-222,도로파손,2023-05-31
2022-03-24,오류동36-13,도로파손,2023-05-31
2022-03-24,천왕동14-116,도로파손,2023-05-31
2022-03-24,개봉로1길156,도로파손,2023-05-31
2022-03-24,공원로11길4,도로파손,2023-05-31
2022-03-24,부일로927,도로파손,2023-05-31
2022-03-24,부일로869,도로파손,2023-05-31
2022-03-24,부일로847,도로파손,2023-05-31
2022-03-24,중앙로5길78,도로파손,2023-05-31
2022-03-25,부일로9길92,도로파손,2023-05-31
2022-03-25,구로중앙로14,도로파손,2023-05-31
2022-03-25,부일로1가길42-36,도로파손,2023-05-31
2022-03-25,오리로21길2,도로파손,2023-05-31
2022-03-28,신도림로9길19-3,도로파손,2023-05-31
2022-03-28,고척로4길15-9,도로파손,2023-05-31
2022-03-28,고척로209,도로파손,2023-05-31
2022-03-28,공원로28,도로파손,2023-05-31
2022-03-28,신정로59,도로파손,2023-05-31
2022-03-28,고척로22길78,도로파손,2023-05-31
2022-03-28,공원로9길11,도로파손,2023-05-31
2022-03-28,도림로104,도로파손,2023-05-31
2022-03-28,안양천로539길6,도로파손,2023-05-31
2022-03-30,구로동635-4,도로파손,2023-05-31
2022-03-30,개봉로12길30,도로파손,2023-05-31
2022-03-30,우마1가길13-5,도로파손,2023-05-31
2022-03-30,우마길23-8,도로파손,2023-05-31
2022-03-30,디지털로19길22,도로파손,2023-05-31
2022-03-30,개봉동270-59,도로파손,2023-05-31
2022-03-30,고척로213,도로파손,2023-05-31
2022-03-30,고척로52길53,도로파손,2023-05-31
2022-03-30,고척동76-77,도로파손,2023-05-31
2022-03-30,고척동52-74,도로파손,2023-05-31
2022-03-30,고척동74-3,도로파손,2023-05-31
2022-03-30,가마산로27길24,도로파손,2023-05-31
2022-03-30,구로동1124-77,도로파손,2023-05-31
2022-03-30,도림로104,도로파손,2023-05-31
2022-03-30,도림로20길11,도로파손,2023-05-31
2022-03-30,구로중앙로31길38,도로파손,2023-05-31
2022-03-31,온수동53-4,도로파손,2023-05-31
2022-03-31,도림로3길36,도로파손,2023-05-31
2022-03-31,구일로2길29,도로파손,2023-05-31
2022-03-31,새말로93,도로파손,2023-05-31
2022-03-31,도림로72,도로파손,2023-05-31
2022-03-31,구로중앙로25길10,도로파손,2023-05-31
2022-03-31,고척로27길7,도로파손,2023-05-31
2022-03-31,새말로18길64,도로파손,2023-05-31
2022-03-31,구로동로5길6-15,도로파손,2023-05-31
2022-03-31,구로동로5길17-10,도로파손,2023-05-31
2022-03-31,구로중앙로27나길20,도로파손,2023-05-31
2022-03-31,도림로10길27-5,도로파손,2023-05-31
2022-03-31,개봉동203-9,도로파손,2023-05-31
2022-03-31,"개봉고가,광명시쪽",도로파손,2023-05-31
2022-03-31,신도림로19길71,도로파손,2023-05-31
2022-03-31,신도림로11길8-3,도로파손,2023-05-31
2022-03-31,고척로139,도로파손,2023-05-31
2022-03-31,고척로213,도로파손,2023-05-31
2022-03-31,고척로156,도로파손,2023-05-31
2022-03-31,오리로15길32,도로파손,2023-05-31
2022-03-31,경서로11길46,도로파손,2023-05-31
2022-03-31,천왕로9,도로파손,2023-05-31
2022-04-01,구로동로28길64-10,도로파손,2023-05-31
2022-04-01,구로중앙로28다길25,도로파손,2023-05-31
2022-04-01,구로동35-5,도로파손,2023-05-31
2022-04-01,경서로5,도로파손,2023-05-31
2022-04-01,도림로20길11,도로파손,2023-05-31
2022-04-01,구로중앙로31길18,도로파손,2023-05-31
2022-04-01,구로중앙로19가길10,도로파손,2023-05-31
2022-04-01,신도림동360-50,도로파손,2023-05-31
2022-04-01,오리로11길27(서해안로2217),도로파손,2023-05-31
2022-04-01,부일로957(부일로15가길3),도로파손,2023-05-31
2022-04-01,경인로35길131,도로파손,2023-05-31
2022-04-01,고척로27마길35,도로파손,2023-05-31
2022-04-01,경인로320,도로파손,2023-05-31
2022-04-01,중앙로15길162,도로파손,2023-05-31
2022-04-01,중앙로132-17,도로파손,2023-05-31
2022-04-04,새말로18-53,도로파손,2023-05-31
2022-04-04,개봉동70-93,도로파손,2023-05-31
2022-04-04,구로동141-5,도로파손,2023-05-31
2022-04-04,구로동648-2,도로파손,2023-05-31
2022-04-04,구일로8길63,도로파손,2023-05-31
2022-04-04,부일로1가길42-36,도로파손,2023-05-31
2022-04-04,남부순환로1082-58,도로파손,2023-05-31
2022-04-04,새말로93,도로파손,2023-05-31
2022-04-04,가마산로291,도로파손,2023-05-31
2022-04-04,신도림로7,도로파손,2023-05-31
2022-04-04,새말로18길130,도로파손,2023-05-31
2022-04-05,경인로8길75,도로파손,2023-05-31
2022-04-05,남부순환로1082-58,도로파손,2023-05-31
2022-04-05,구로중앙로27나길20,도로파손,2023-05-31
2022-04-05,구로중앙로22길7,도로파손,2023-05-31
2022-04-05,구로중앙로28다길15,도로파손,2023-05-31
2022-04-05,구로중앙로22길39-2,도로파손,2023-05-31
2022-04-05,경서로1가길37-5,도로파손,2023-05-31
2022-04-05,오류로86,도로파손,2023-05-31
2022-04-05,구로중앙로28나길14,도로파손,2023-05-31
2022-04-05,구로동로7다길7,도로파손,2023-05-31
2022-04-05,구로동로7다길86,도로파손,2023-05-31
2022-04-05,남부순환로105라길6,도로파손,2023-05-31
2022-04-05,디지털로21길14,도로파손,2023-05-31
2022-04-05,디지털로19길15,도로파손,2023-05-31
2022-04-05,공원로6가길22,도로파손,2023-05-31
2022-04-05,공원로6가길52,도로파손,2023-05-31
2022-04-05,공원로6가길4,도로파손,2023-05-31
2022-04-06,오리로1181-4,도로파손,2023-05-31
2022-04-06,오리로10길44-37,도로파손,2023-05-31
2022-04-06,도림로20길11,도로파손,2023-05-31
2022-04-06,고척동77-8,도로파손,2023-05-31
2022-04-06,고척동118-3,도로파손,2023-05-31
2022-04-06,고척동76-224,도로파손,2023-05-31
2022-04-06,고척동102-2,도로파손,2023-05-31
2022-04-06,고척로213,도로파손,2023-05-31
2022-04-07,구로동222-3,도로파손,2023-05-31
2022-04-07,구로동로7라길33,도로파손,2023-05-31
2022-04-08,구로중앙로26길34,도로파손,2023-05-31
2022-04-08,디지털로27길124-9,도로파손,2023-05-31
2022-04-08,오류동267-3,도로파손,2023-05-31
2022-04-08,고척로209-1,도로파손,2023-05-31
2022-04-08,고척로25길20,도로파손,2023-05-31
2022-04-08,고척로52길22,도로파손,2023-05-31
2022-04-08,구로중앙로49,도로파손,2023-05-31
2022-04-08,구로중앙로31길18,도로파손,2023-05-31
2022-04-11,구로중앙로28길66,도로파손,2023-05-31
2022-04-11,도림로20길30,도로파손,2023-05-31
2022-04-11,고척로25길20,도로파손,2023-05-31
2022-04-11,경인로66길13,도로파손,2023-05-31
2022-04-11,벚꽃로378,도로파손,2023-05-31
2022-04-12,구로동1-4,도로파손,2023-05-31
2022-04-12,고척로128-10,도로파손,2023-05-31
2022-04-12,고척동76-70,도로파손,2023-05-31
2022-04-12,오류동6-2,도로파손,2023-05-31
2022-04-13,천왕동282-10,도로파손,2023-05-31
2022-04-13,연동로169,도로파손,2023-05-31
2022-04-13,구로중앙로28길66,도로파손,2023-05-31
2022-04-13,신도림로56-24,도로파손,2023-05-31
2022-04-13,경인로66길19,도로파손,2023-05-31
2022-04-13,도림로20길6,도로파손,2023-05-31
2022-04-13,도림로79,도로파손,2023-05-31
2022-04-13,구로중앙로33-1,도로파손,2023-05-31
2022-04-14,구로동317-15,도로파손,2023-05-31
2022-04-14,경서로1가길37-10,도로파손,2023-05-31
2022-04-14,구로중앙로47,도로파손,2023-05-31
2022-04-14,중앙로5길20,도로파손,2023-05-31
2022-04-15,부일로9길87,도로파손,2023-05-31
2022-04-15,구로동1132-40,도로파손,2023-05-31
2022-04-15,구로중앙로30길13,도로파손,2023-05-31
2022-04-15,개봉로17나길52,도로파손,2023-05-31
2022-04-15,구로중앙로22길80,도로파손,2023-05-31
2022-04-15,구로중앙로30길24,도로파손,2023-05-31
2022-04-15,공원로11길45,도로파손,2023-05-31
2022-04-18,고척로52마길7-4,도로파손,2023-05-31
2022-04-18,고척로52마길7-12,도로파손,2023-05-31
2022-04-18,가마산로20나길22-1,도로파손,2023-05-31
2022-04-18,오류로8다길17,도로파손,2023-05-31
2022-04-18,디지털로31길120,도로파손,2023-05-31
2022-04-18,경인로98,도로파손,2023-05-31
2022-04-18,남부순화로1082-72,도로파손,2023-05-31
2022-04-19,새말로8길12-12,도로파손,2023-05-31
2022-04-19,공원로83,도로파손,2023-05-31
2022-04-19,공원로6가길4,도로파손,2023-05-31
2022-04-19,공원로27,도로파손,2023-05-31
2022-04-19,새말로6길11-17,도로파손,2023-05-31
2022-04-19,구로중앙로22길37,도로파손,2023-05-31
2022-04-19,부일로953,도로파손,2023-05-31
2022-04-19,구로중앙로16,도로파손,2023-05-31
2022-04-19,도림로20길11,도로파손,2023-05-31
2022-04-20,오류로66-17,도로파손,2023-05-31
2022-04-22,구로동로7길31-29,도로파손,2023-05-31
2022-04-22,부일로951,도로파손,2023-05-31
2022-04-22,새말로18길146,도로파손,2023-05-31
2022-04-22,경인로650,도로파손,2023-05-31
2022-04-22,남부순환로107가길6-13,도로파손,2023-05-31
2022-04-22,구로동로29길16-19,도로파손,2023-05-31
2022-04-25,경인로67길67-41,도로파손,2023-05-31
2022-04-25,경인로55길21,도로파손,2023-05-31
2022-04-25,공원로34,도로파손,2023-05-31
2022-04-25,구로중앙로24길21,도로파손,2023-05-31
2022-04-25,구로동로141,도로파손,2023-05-31
2022-04-25,구로동로166,도로파손,2023-05-31
2022-04-25,구로동로209-1,도로파손,2023-05-31
2022-04-25,구로동로222,도로파손,2023-05-31
2022-04-25,구로동로238,도로파손,2023-05-31
2022-04-25,구로동512-32,도로파손,2023-05-31
2022-04-26,오류동340(오류로86),도로파손,2023-05-31
2022-04-26,구로중앙로47,도로파손,2023-05-31
2022-04-26,공원로6길11,도로파손,2023-05-31
2022-04-26,서해안로26길7,도로파손,2023-05-31
2022-04-26,구로동685-222,도로파손,2023-05-31
2022-04-26,개봉동319-33,도로파손,2023-05-31
2022-04-26,개봉동311-16,도로파손,2023-05-31
2022-04-26,개봉동309-11,도로파손,2023-05-31
2022-04-26,오류로64,도로파손,2023-05-31
2022-04-26,오류로66-17,도로파손,2023-05-31
2022-04-27,부일로969,도로파손,2023-05-31
2022-04-27,경인로638,도로파손,2023-05-31
2022-04-27,오류동340,도로파손,2023-05-31
2022-04-27,가마산로180-6,도로파손,2023-05-31
2022-04-27,구로동114-10,도로파손,2023-05-31
2022-04-27,고척동241-11,도로파손,2023-05-31
2022-04-27,중앙로15길132-17,도로파손,2023-05-31
2022-04-29,고척로33라길24-2,도로파손,2023-05-31
2022-04-29,고척로12길56,도로파손,2023-05-31
2022-04-29,신도림동396-245,도로파손,2023-05-31
2022-04-29,구로중앙로42길6,도로파손,2023-05-31
2022-04-29,신도림동288-11,도로파손,2023-05-31
2022-04-29,우마2길75,도로파손,2023-05-31
2022-04-29,남부순환로105가길23,도로파손,2023-05-31
2022-04-29,구로동로15-9,도로파손,2023-05-31
2022-05-02,구로중앙로107,도로파손,2023-05-31
2022-05-02,온수동23-26,도로파손,2023-05-31
2022-05-02,온수주차장,도로파손,2023-05-31
2022-05-02,고척로204,도로파손,2023-05-31
2022-05-02,고척로25길33,도로파손,2023-05-31
2022-05-02,고척로27길51,도로파손,2023-05-31
2022-05-02,고척로27길51,도로파손,2023-05-31
2022-05-02,구일로2길29,도로파손,2023-05-31
2022-05-02,구로중앙로37,도로파손,2023-05-31
2022-05-02,천왕로63,도로파손,2023-05-31
2022-05-02,오리로1102-2,도로파손,2023-05-31
2022-05-03,경인로435,도로파손,2023-05-31
2022-05-03,도림로104,도로파손,2023-05-31
2022-05-03,고척로30길58,도로파손,2023-05-31
2022-05-03,구로중앙로28길66,도로파손,2023-05-31
2022-05-03,디지털로224,도로파손,2023-05-31
